,customer_id,first_name,last_name,phone,email,street,city,state,zip_code,full_name
0,1,Debra,Burks,unknown,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,Debra Burks
1,2,Kasha,Todd,unknown,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,Kasha Todd
2,3,Tameka,Fisher,unknown,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,Tameka Fisher
3,4,Daryl,Spence,unknown,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,Daryl Spence
4,5,Charolette,Rice,9163816003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,Charolette Rice
5,6,Lyndsey,Bean,unknown,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,Lyndsey Bean
6,7,Latasha,Hays,7169863359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,Latasha Hays
7,8,Jacquline,Duncan,unknown,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,Jacquline Duncan
8,9,Genoveva,Baldwin,unknown,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,Genoveva Baldwin
9,10,Pamelia,Newman,unknown,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,Pamelia Newman
10,11,Deshawn,Mendoza,unknown,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,Deshawn Mendoza
11,12,Robby,Sykes,5165837761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,Robby Sykes
12,13,Lashawn,Ortiz,unknown,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,Lashawn Ortiz
13,14,Garry,Espinoza,unknown,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,Garry Espinoza
14,15,Linnie,Branch,unknown,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,Linnie Branch
15,16,Emmitt,Sanchez,2129458823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,Emmitt Sanchez
16,17,Caren,Stephens,unknown,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,Caren Stephens
17,18,Georgetta,Hardin,unknown,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,Georgetta Hardin
18,19,Lizzette,Stein,unknown,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,Lizzette Stein
19,20,Aleta,Shepard,unknown,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,Aleta Shepard
20,21,Tobie,Little,unknown,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,Tobie Little
21,22,Adelle,Larsen,unknown,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731,Adelle Larsen
22,23,Kaylee,English,unknown,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423,Kaylee English
23,24,Corene,Wall,unknown,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301,Corene Wall
24,25,Regenia,Vaughan,unknown,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541,Regenia Vaughan
25,26,Theo,Reese,5622152907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561,Theo Reese
26,27,Santos,Valencia,unknown,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104,Santos Valencia
27,28,Jeanice,Frost,unknown,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562,Jeanice Frost
28,29,Syreeta,Hendricks,unknown,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541,Syreeta Hendricks
29,30,Jamaal,Albert,unknown,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505,Jamaal Albert
30,31,Williemae,Holloway,5102468375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603,Williemae Holloway
31,32,Araceli,Golden,unknown,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831,Araceli Golden
32,33,Deloris,Burke,unknown,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274,Deloris Burke
33,34,Brittney,Woodward,unknown,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731,Brittney Woodward
34,35,Guillermina,Noble,unknown,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027,Guillermina Noble
35,36,Bernita,Mcdaniel,unknown,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090,Bernita Mcdaniel
36,37,Melia,Brady,unknown,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378,Melia Brady
37,38,Zelma,Browning,unknown,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102,Zelma Browning
38,39,Janetta,Aguirre,7176702634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086,Janetta Aguirre
39,40,Ronna,Butler,unknown,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316,Ronna Butler
40,41,Kathie,Freeman,unknown,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804,Kathie Freeman
41,42,Tangela,Quinn,unknown,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418,Tangela Quinn
42,43,Mozelle,Carter,2814899656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016,Mozelle Carter
43,44,Onita,Johns,unknown,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003,Onita Johns
44,45,Bennett,Armstrong,unknown,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714,Bennett Armstrong
45,46,Monika,Berg,unknown,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316,Monika Berg
