,staff_id,first_name,last_name,email,phone,active,store_id,manager_id
0,1,Fabiola,Jackson,fabiola.jackson@bikes.shop,unknown,1,0,0
1,2,Mireya,,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1
2,3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1,2
3,4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,1,2
4,5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,2,1
5,6,Marcelene,Boyer,user's email not found,(516) 379-4445,1,2,5
6,7,Venita,Daniel,venita.daniel@bikes.shop,unknown,1,2,5
7,8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3,1
8,9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3,7
9,10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3,7
